,Rank,Title,Studio,Gross,A_Theatres,Opening,R_Theatres,Date
0,1,Avengers: Endgame,BV,"$858,353,685","4,662","$357,115,007","4,662",4/26/19
1,2,Black Panther,BV,"$700,059,566","4,084","$202,003,951","4,020",2/16/18
2,3,Avengers: Infinity War,BV,"$678,815,482","4,474","$257,698,183","4,474",4/27/18
3,4,Marvel's The Avengers,BV,"$623,357,910","4,349","$207,438,708","4,349",5/4/12
4,5,Avengers: Age of Ultron,BV,"$459,005,868","4,276","$191,271,109","4,276",5/1/15
5,6,Captain Marvel ,BV,"$426,829,839","4,310","$153,433,423","4,310",3/8/19
6,7,Iron Man 3,BV,"$409,013,994","4,253","$174,144,585","4,253",5/3/13
7,8,Captain America: Civil War,BV,"$408,084,349","4,226","$179,139,142","4,226",5/6/16
8,9,Guardians of the Galaxy Vol. 2,BV,"$389,813,101","4,347","$146,510,104","4,347",5/5/17
9,10,Spider-Man: Far from Home,Sony,"$387,182,846","4,634","$92,579,212","4,634",7/2/19
10,11,Spider-Man: Homecoming,Sony,"$334,201,140","4,348","$117,027,503","4,348",7/7/17
11,12,Guardians of the Galaxy,BV,"$333,176,600","4,088","$94,320,883","4,080",8/1/14
12,13,Iron Man,Par.,"$318,412,101","4,154","$98,618,668","4,105",5/2/08
13,14,Thor: Ragnarok,BV,"$315,058,289","4,080","$122,744,989","4,080",11/3/17
14,15,Iron Man 2,Par.,"$312,433,331","4,390","$128,122,480","4,380",5/7/10
15,16,Captain America: The Winter Soldier,BV,"$259,766,572","3,938","$95,023,721","3,938",4/4/14
16,17,Doctor Strange,BV,"$232,641,920","3,882","$85,058,311","3,882",11/4/16
17,18,Ant-Man and the Wasp,BV,"$216,648,740","4,206","$75,812,205","4,206",7/6/18
18,19,Thor: The Dark World,BV,"$206,362,140","3,841","$85,737,841","3,841",11/8/13
19,20,Thor,Par.,"$181,030,624","3,963","$65,723,338","3,955",5/6/11
20,21,Ant-Man,BV,"$180,202,163","3,868","$57,225,526","3,856",7/17/15
21,22,Captain America: The First Avenger,Par.,"$176,654,505","3,715","$65,058,524","3,715",7/22/11
22,23,The Incredible Hulk,Uni.,"$134,806,913","3,508","$55,414,050","3,505",6/13/08
